,pos,neg,neu,comp,tag
214,0.0,0.054,0.946,-0.4019,2003
215,0.054,0.169,0.776,-0.5994,2003
216,0.09,0.41,0.5,-0.8957,2003
217,0.216,0.0,0.784,0.6705,2003
218,0.185,0.06,0.755,0.7269,2003
219,0.309,0.206,0.485,0.6908,2003
220,0.093,0.0,0.907,0.4019,2003
221,0.079,0.358,0.563,-0.872,2003
222,0.135,0.1,0.764,0.1531,2003
223,0.039,0.233,0.727,-0.8126,2003
224,0.273,0.103,0.624,0.7269,2003
225,0.117,0.352,0.531,-0.9517,2003
226,0.114,0.102,0.784,0.1779,2003
227,0.059,0.277,0.664,-0.8176,2003
228,0.12,0.042,0.838,0.5994,2003
229,0.303,0.0,0.697,0.891,2003
230,0.123,0.218,0.659,-0.5106,2003
231,0.107,0.24,0.653,-0.743,2003
232,0.044,0.214,0.741,-0.8176,2003
233,0.132,0.172,0.696,-0.4019,2003
234,0.0,0.128,0.872,-0.7184,2003
235,0.055,0.396,0.549,-0.9618,2003
236,0.119,0.132,0.749,-0.1531,2003
237,0.201,0.165,0.634,0.5022,2003
238,0.042,0.049,0.909,-0.1027,2003
239,0.148,0.148,0.703,0.0,2003
240,0.0,0.159,0.841,-0.8176,2003
241,0.217,0.067,0.716,0.743,2003
242,0.329,0.224,0.447,0.6908,2003
243,0.159,0.304,0.536,-0.875,2003
244,0.115,0.0,0.885,0.5719,2003
245,0.276,0.0,0.724,0.9246,2003
246,0.115,0.38,0.505,-0.9764,2003
247,0.36,0.0,0.64,0.8957,2003
248,0.068,0.184,0.749,-0.7003,2003
249,0.0,0.219,0.781,-0.8481,2003
250,0.113,0.296,0.591,-0.9028,2003
251,0.32,0.032,0.648,0.9517,2003
252,0.105,0.247,0.648,-0.8619,2003
253,0.09,0.093,0.817,-0.0258,2003
254,0.192,0.0,0.808,0.5267,2003
255,0.177,0.123,0.7,0.296,2003
256,0.094,0.037,0.87,0.4019,2003
257,0.046,0.428,0.526,-0.9756,2003
258,0.271,0.091,0.638,0.5994,2003
259,0.096,0.087,0.817,0.128,2003
260,0.231,0.182,0.586,0.6124,2003
261,0.16,0.0,0.84,0.7906,2003
262,0.123,0.064,0.813,0.5859,2003
263,0.0,0.104,0.896,-0.5423,2003
264,0.047,0.0,0.953,0.25,2003
265,0.0,0.096,0.904,-0.7506,2003
266,0.045,0.109,0.847,-0.6124,2003
267,0.304,0.0,0.696,0.9325,2003
268,0.176,0.153,0.671,0.0258,2003
269,0.12,0.293,0.587,-0.9122,2003
270,0.088,0.145,0.767,-0.25,2003
271,0.151,0.228,0.621,-0.7665,2003
272,0.33,0.144,0.525,0.8176,2003
273,0.0,0.117,0.883,-0.765,2003
274,0.073,0.05,0.877,0.3182,2003
275,0.119,0.197,0.684,-0.5994,2003
276,0.144,0.06,0.796,0.5859,2003
277,0.252,0.056,0.692,0.8807,2003
278,0.013,0.266,0.72,-0.967,2003
279,0.153,0.114,0.733,0.2263,2003
280,0.141,0.0,0.859,0.8271,2003
281,0.144,0.143,0.713,0.0258,2003
282,0.076,0.168,0.757,-0.5267,2003
283,0.142,0.301,0.557,-0.7717,2003
284,0.034,0.051,0.915,-0.2023,2003
285,0.101,0.0,0.899,0.4215,2003
286,0.0,0.08,0.92,-0.5574,2003
287,0.225,0.107,0.668,0.8126,2003
288,0.132,0.137,0.731,-0.0777,2003
289,0.183,0.0,0.817,0.8591,2003
290,0.112,0.202,0.686,-0.6486,2003
291,0.145,0.288,0.567,-0.891,2003
292,0.057,0.417,0.525,-0.9371,2003
293,0.037,0.304,0.658,-0.9325,2004
294,0.029,0.087,0.884,-0.4939,2004
295,0.169,0.103,0.728,0.6369,2004
296,0.104,0.181,0.716,-0.6249,2004
297,0.16,0.049,0.791,0.6808,2004
298,0.086,0.052,0.862,0.128,2004
299,0.12,0.031,0.849,0.743,2004
300,0.061,0.209,0.73,-0.872,2004
301,0.103,0.097,0.801,-0.1779,2004
302,0.133,0.087,0.78,0.25,2004
303,0.095,0.188,0.718,-0.6908,2004
304,0.181,0.04,0.779,0.8225,2004
305,0.231,0.139,0.63,0.296,2004
306,0.248,0.045,0.707,0.9524,2004
307,0.133,0.293,0.574,-0.9485,2004
308,0.271,0.0,0.729,0.9081,2004
309,0.059,0.309,0.633,-0.9217,2004
310,0.141,0.08,0.779,0.5106,2004
311,0.126,0.094,0.779,0.2484,2004
312,0.0,0.088,0.912,-0.6808,2004
313,0.333,0.04,0.626,0.926,2004
314,0.061,0.448,0.491,-0.9623,2004
315,0.037,0.0,0.963,0.0772,2004
316,0.229,0.105,0.667,0.6369,2004
317,0.0,0.283,0.717,-0.8271,2004
318,0.083,0.0,0.917,0.5423,2004
319,0.116,0.095,0.789,0.296,2004
320,0.093,0.057,0.85,0.2023,2004
321,0.091,0.0,0.909,0.4939,2004
322,0.0,0.14,0.86,-0.8316,2004
323,0.0,0.223,0.777,-0.9217,2004
324,0.304,0.046,0.65,0.9287,2004
325,0.112,0.147,0.741,-0.34,2004
326,0.022,0.235,0.743,-0.9062,2004
327,0.02,0.069,0.91,-0.6249,2004
328,0.154,0.251,0.595,-0.6908,2004
329,0.052,0.346,0.602,-0.9796,2004
330,0.215,0.0,0.785,0.7506,2004
331,0.34,0.1,0.56,0.9442,2004
332,0.244,0.036,0.72,0.8834,2004
333,0.197,0.176,0.627,0.4939,2004
334,0.068,0.361,0.571,-0.9779,2004
335,0.0,0.047,0.953,-0.25,2004
