Year,N_term,N_tfidf,S_term,S_tfidf
2001,eligible,0.32346364982861975,everything,0.22356649009035254
2001,energy,0.3223122897901394,use,0.21960715028249092
2001,bin,0.31864252478158417,brings,0.21954307514749094
2001,chavez,0.31686235085252545,bang,0.21838469982078712
2001,burn,0.3160089718032067,men,0.21725616811470458
2001,officer,0.3147213890224409,promise,0.2154602132810578
2001,specie,0.310525103835475,song,0.21493082700764
2001,telephone,0.30855644684356376,shut,0.21473968740295124
2001,university,0.30855644684356376,fiesta,0.2125351935473352
2001,oil,0.306714590279583,soul,0.21161956776802648
2001,red,0.3064392472060608,timeand,0.20794091774696985
2001,genome,0.3044363763092892,bird,0.20447639351972197
2001,program,0.3036587254650945,minute,0.20141477429904558
2001,nato,0.29858183061103366,tomorrow,0.20137368109790477
2001,movement,0.2929482111655424,dj,0.20107131821337335
2001,smallpox,0.2911172848457578,darling,0.1950534571830873
2001,arafat,0.2911172848457578,open,0.19210956671723528
2001,pipeline,0.2911172848457578,hand,0.1901795614788029
2001,black,0.28985605612577203,nobody,0.18859594580643088
2001,deal,0.28985605612577203,soon,0.18513386810613824
2001,university,0.28985605612577203,oops,0.1832497930359563
2001,telecommunication,0.28752324429210646,ever,0.18309664814341223
2001,council,0.28752324429210646,hang,0.18213645524259467
2001,hanssen,0.28752324429210646,everywhere,0.18104680676225382
2001,putin,0.28752324429210646,gonna,0.18077802048469094
2001,att,0.28752324429210646,turn,0.17921127054179709
2001,embryo,0.2822955489413409,ride,0.17872284038947397
2001,police,0.2818458397163735,id,0.17649857073283884
2001,florida,0.2818458397163735,wish,0.17646687404269867
2001,reality,0.2772545569959598,tell,0.17600606318596435
2001,intelligence,0.2748635014985769,handle,0.17447599601489788
2001,donor,0.2744288439343637,grown,0.173934469329708
2001,east,0.27020479808334674,turn,0.1737331967697771
2001,space,0.26739220691040566,party,0.1697178346820857
2001,pilot,0.2646520771325071,since,0.16894896152471267
2001,fidelity,0.2646520771325071,bad,0.16757613400297192
2001,oregon,0.2646520771325071,thug,0.16728063263621545
2001,stock,0.2607074017376455,butterfly,0.16669292383806172
2001,potter,0.25314546508326763,really,0.16572377130891475
2001,addition,0.25042347083506045,bootylicious,0.16485406091651664
2001,debate,0.25042347083506045,cost,0.16330664985803298
2001,star,0.25042347083506045,already,0.16250811732994613
2001,stiglitz,0.25042347083506045,fun,0.16159073279663194
2001,hire,0.25042347083506045,wanna,0.15992253622740513
2001,construction,0.24829276355966237,ching,0.15973513571783693
2001,shortage,0.24710608883910684,lonely,0.15852041061693048
2001,electricity,0.24259773737146484,someone,0.15812224484518908
2001,community,0.24259773737146484,breath,0.157842406801163
2001,fremont,0.24259773737146484,romeo,0.15670909743249903
2001,transform,0.24259773737146484,without,0.1566827181960203
2001,suburb,0.24259773737146484,would,0.15531116142887408
2001,sega,0.24259773737146484,light,0.1544590551648541
2001,projection,0.24259773737146484,funk,0.1517929976849389
2001,societal,0.24259773737146484,gushi,0.1517929976849389
2001,governor,0.2425185132443214,road,0.14908668799689256
2001,taliban,0.23917114584308807,austin,0.14702893174028173
2001,investigation,0.2391312463037619,spiritual,0.14592345105050517
2001,laden,0.23898189358618813,powerful,0.14592345105050517
2002,moulinex,0.4590556081852523,beautiful,0.4631294520227401
