,pos,neg,neu,comp,tag
248,0.089,0.236,0.675,-0.9916,2003
249,0.435,0.075,0.49,0.986,2003
250,0.223,0.039,0.738,0.9857,2003
251,0.151,0.204,0.645,-0.9208,2003
252,0.452,0.065,0.483,0.998,2003
253,0.327,0.068,0.605,0.9909,2003
254,0.074,0.031,0.895,0.954,2003
255,0.201,0.122,0.677,0.9013,2003
256,0.069,0.124,0.807,-0.9675,2003
257,0.528,0.075,0.397,0.9993,2003
258,0.244,0.098,0.659,0.9859,2003
259,0.179,0.067,0.754,0.9963,2003
260,0.151,0.054,0.795,0.9894,2003
261,0.329,0.071,0.6,0.9959,2003
262,0.347,0.156,0.496,0.9922,2003
263,0.374,0.213,0.413,0.9895,2003
264,0.014,0.102,0.884,-0.9738,2003
265,0.14,0.121,0.738,0.8176,2003
266,0.243,0.048,0.709,0.9865,2003
267,0.303,0.213,0.484,0.9735,2003
268,0.139,0.209,0.652,-0.9682,2003
269,0.117,0.206,0.677,-0.9903,2003
270,0.202,0.042,0.756,0.9927,2003
271,0.257,0.17,0.574,0.979,2003
272,0.2,0.215,0.584,-0.3417,2003
273,0.081,0.128,0.791,-0.7259,2003
274,0.227,0.133,0.64,0.9851,2003
275,0.092,0.235,0.673,-0.9886,2003
276,0.055,0.086,0.859,-0.743,2003
277,0.228,0.127,0.645,0.9968,2003
278,0.146,0.088,0.766,0.9393,2003
279,0.146,0.089,0.765,0.8606,2003
280,0.277,0.034,0.689,0.9878,2003
281,0.137,0.274,0.59,-0.9974,2003
282,0.073,0.38,0.547,-0.996,2003
283,0.105,0.186,0.709,-0.7909,2003
284,0.096,0.103,0.802,-0.128,2003
285,0.267,0.187,0.546,0.9889,2003
286,0.465,0.024,0.511,0.9997,2003
287,0.296,0.004,0.7,0.9962,2003
288,0.227,0.283,0.49,-0.8934,2003
289,0.103,0.122,0.775,-0.0772,2003
290,0.251,0.215,0.534,0.9133,2003
291,0.252,0.189,0.558,0.8372,2003
292,0.137,0.082,0.781,0.7906,2003
293,0.432,0.058,0.509,0.9992,2004
294,0.154,0.098,0.748,0.8807,2004
295,0.314,0.013,0.673,0.9862,2004
296,0.253,0.106,0.64,0.981,2004
297,0.425,0.063,0.512,0.9994,2004
298,0.16,0.103,0.737,0.6705,2004
299,0.157,0.089,0.755,0.9538,2004
300,0.228,0.07,0.702,0.9432,2004
301,0.183,0.117,0.7,0.9068,2004
302,0.069,0.207,0.724,-0.986,2004
303,0.143,0.077,0.78,0.9688,2004
304,0.114,0.126,0.76,-0.7542,2004
305,0.191,0.154,0.655,0.8646,2004
306,0.378,0.046,0.576,0.9992,2004
307,0.201,0.122,0.677,0.9013,2004
308,0.374,0.04,0.586,0.9992,2004
309,0.224,0.073,0.703,0.9694,2004
310,0.302,0.147,0.551,0.9878,2004
311,0.163,0.351,0.486,-0.9668,2004
312,0.245,0.068,0.687,0.9962,2004
313,0.168,0.213,0.619,-0.9153,2004
314,0.0,0.0,1.0,0.0,2004
315,0.134,0.135,0.731,-0.2732,2004
316,0.165,0.064,0.771,0.9712,2004
317,0.136,0.041,0.823,0.9917,2004
318,0.303,0.161,0.536,0.9939,2004
319,0.279,0.097,0.624,0.9957,2004
