Rank,Song,Artist,Year,Lyrics
32,let rock,kevin rudolf featuring lil wayne,2009,see dirty face high behind collar done vain truth hard swallow pray god justify way live lie live lie live lie take time crime well made bed im minebecause arrive bring fire make come alive take higher forgot must remind let rock let rock let rocknow sons disgraced knew father cursed name turned chased dollar broke heart stuck middle finger world world world take time stand line well get whats got minebecause arrive bring fire make come alive take higher forgot must remind let rock let rock let rockyeah waynes world planet rock panties drop tops gonna rock til camera stop sing angels like angela rock pamela rock samantha rock amanda tamara im like bitch whats mechanic fix fuck fuck shorty go wherever pick town jewelry louder engine sound big ass rocks like ground dirty like socks thats ground weezybecause arrive bring fire make come alive take higher forgot must remind let rock let rock let rockbecause arrive bring fire make come alive take higher forgot must remind let rock let rock let rockjust let rock let rock let rock let rock let rockim back like forgot something im something rollin rock rubbing rap running miles like im trying get flat stomach like wayne personal trainer aim perfect ill fuck ya period like reminderi wish could cruel wish could say things cant live lie time
33,fire burning,sean kingston,2009,somebody call shawty fire burning dance floor whoa fire burning fire burning gwaankingston lets go hey hey hey red one hey hey shawty got super thing hotter sun south spain got soon walked door pocket started tickling way dropped low thang got wanna spend money hershe get pop lock drop birthday cake got candle need blow crazy flame away take red black car jewelery shawty cool like fire cool like firesomebody call shawty fire burning dance floor whoa gotta cool bring roof ground dance floor whoa fire burning fire burning dance floor little shawtys fire burning dance floor fire burning fire burning dance floor little shawtys fire burning dance floor fire burning fire burningthat body masterpiece order one every hundred years aint doubt im taking home im afraid well blow legs little mama game change shell covers world worldshe get pop lock drop birthday cake got candle need blow crazy flame away take red black car jewelery shawty cool like fire cool like firesomebody call shawty fire burning dance floor whoa gotta cool bring roof ground dance floor whoa fire burning fire burning dance floor little shawtys fire burning dance floor fire burning fire burning dance floor little shawtys fire burning dance floor fire burning fire burningshe got fire dance make fellas run around hey exit dance floor boys want hey got fire dance make fellas run around madem get outta way everybody sing hey exit dance floor boys want gwaan lets go madem lets go heyshe get pop lock drop birthday cake got candle need blow crazy flame away take red black car jewelery shawty cool like fire cool like firesomebody call shawty fire burning dance floor whoa gotta cool bring roof ground dance floor whoa fire burning fire burning dance floor little shawtys fire burning dance floor fire burning fire burning dance floor little shawtys fire burning dance floor fire burning fire burningsomebody call
34,whatcha say,jason derulo,2009,sayi wrong long tryin please girl caught lust really want one else know treated better meant last foreverso let let give another chance another chance really man cause roof caved truth came know become star well living large ill anything tell girlwhatchu say whatchu say sayhow could live knowing let love go love go id one chance gotta let know know clever meant togetherso let let give another chance another chance really man cause roof caved truth came know become star well living large ill anything tell girlmmmm whatcha say mmm meant well well course mmmm whatcha say whatcha say whatcha say mmmm best course isgirl tell whatcha said said want leave though caught cheatin tell tell whatcha said said really need life cause things aint right girl tell tell whatcha said said want leave though caught cheatin tell tell whatcha said said really need life cause things aint rightcause roof caved truth came know become star well living large ill anything baby watcha saymmmm whatcha say mmm meant well well course mmmm whatcha say whatcha say whatcha say mmmm best course mmmm whatcha say mmm meant well well course mmmm whatcha say whatcha say whatcha say mmmm best
35,lovegame,lady gaga,2009,lets fun beat sick wanna take ride disco stick lets fun beat sick wanna take ride disco stick wanna kiss might miss babe complicated stupid got ass squeezed sexy cupid guess wants play wants play love game love game hold love wanna touch minute maybe three seconds enough heart quit lets fun beat sick wanna take ride disco stick think much bust stick wanna take ride disco stick lets play love game play love game want love want fame game doin love game lets play love game play love game want love want fame game doin love game im mission involves heavy touching yeah indicated interest im educated sex yes want bad want bad love game love game hold love want touch minute maybe three seconds enough heart quit lets fun beat sick wanna take ride disco stick think much bust stick wanna take ride disco stick lets play love game play love game want love want fame game doin love game lets play love game play love game want love want fame game doin love game see staring across block smile mouth hand huh story us always starts boy girl huh game game game game love game lets play love game play love game want love want fame game doin love game lets play love game play love game want love want fame game doin love game lets play love game play love game want love want fame game lets fun beat sick doin love game wanna take ride disco stick lets play love game play love game want love want fame game think much bust stick doin love game wanna take ride disco stick doin love game
36,waking vegas,katy perry,2009,gotta help blur last night need taxi cause hungover im broke lost fake id lost motel key spare freakin dirty looks blame roll cash get hell towndont baby remember told shut put money mouth thats get waking vegas get shake glitter clothes thats get waking vegaswhy lights bright get hitched last night dressed like elvis wearing class ring call mother cause partners crimedont baby remember told shut put money mouth thats get waking vegas get shake glitter clothes thats get waking vegasyou got information overload situation lost control send sos get cash gonna tear towndont baby remember told remember told remember told told told told shut put money mouth thats get waking vegasget shake glitter clothes thats get waking vegas thats get baby shake glitter shake shake shake glitter give cash baby give cash baby
37,birthday sex,jeremih,2009,yo birthday know want ride even go house sip moeezy sit upon couch feels good know want cry say u want passion think found get ready action astounded switching positions feel surrounded tell want gift girlgirl know iii girl know iii fiending wake late night dreaming loving girl girl know iii girl know iii need candles cake need body make birthday sex birthday sex best day year girl birthday sex birthday sex hes hes hes let hit gspot gspot girlsee sexy jeans got ten one two three think got pinned tap fight end ring bell gon start grinding passion cause birthday hours know thirsty kiss sweetly taste like hersheys tell want gift girlgirl know iii girl know iii fiending wake late night dreaming loving girl girl know iii girl know iii need candles cake need body make birthday sex birthday sex best day year girl birthday sex birthday sex hes hes hes let hit gspot gspot girlfirst im gonna take dive water deep know please body body aaah oooh girl without broom might sweep yo feet make wanna tell somebody body maybe float top water bed bed close eyes improv legs work way kitchens stoves tables girl know im able please yeah say wanted flowers bed bed got hours bedgirl know iii girl know iii fiending wake late night dreaming loving girl girl know iii girl know iii need candles cake need body make birthday sex birthday sex best day year girl birthday sex birthday sex hes hes hes let hit gspot gspot girl
38,sober,pink,2009,wanna girl laughs loudest girl never wants alone wanna calling oclock morning cause im one know world homeah sun blinding stayed finding thats way want story endim safe high nothing touch feel partys pain inside protection feel good soberi wanna girl fill silence quiet scares cause screams truth please tell conversation cause remember save breath cause whats useah night calling whispers softly come play falling let go im one blameim safe high nothing touch feel partys pain inside like perfection feel good sobercoming coming coming spinning round spinning round spinning round im looking sober coming coming coming spinning round spinning round spinning round looking soberwhen good good good till goes bad till trying find heard cry never broken agony tryin find friendoh ohim safe high nothing touch feel partys pain inside like perfection feel good soberim safe high nothing touch feel partys pain inside like perfection feel good sober
39,womanizer,britney spears,2009,superstar hows going know got clue doingyou play brand new chicks know babylook gettin reup baby got puppets strings upfakin like good one call em like see em know babywomanizer womanwomanizer womanizer womanizer womanizer babyyou womanizer womanizer womanizerboy try front uh know ah ah boy try front uh know ah ah got going charming cant womanizer boy try front uh know ah ah boy try front uh know ah ahyou say im crazy got crazy nothing womanizerdaddyo got swagger champion bad cant find right companioni guess one many makes hard could easy thats babylollipop must mistake sucker think would victim anothersay play wanna way im ever gonna fall never babywomanizer womanwomanizer womanizer womanizer womanizer babyyou womanizer womanizer womanizerboy try front uh know ah ah boy try front uh know ah ah got going charming cant womanizer boy try front uh know ah ah boy try front uh know ah ahyou say im crazy got crazy nothing womanizermaybe lived different world womanizer womanizer womanizer womanizerit would good maybe could girl cant cause dontwomanizer womanwomanizer womanizer womanizer womanizer babyyou womanizer womanizer womanizerboy try front uh know ah ah boy try front uh know ah ah got going charming cant womanizer boy try front uh know ah ah boy try front uh know ah ahyou say im crazy got crazy nothing womanizerboy try front uh know ah ah boy try front uh know ah ahwomanizer womanwomanizer womanizer womanizer womanizer baby
40,whatever like,ti,2009,hey jill know old sugar daddy trickin tell girli said could whatever like like said could whatever like like yeahstacks deck patrone ice pop bottles night baby could whatever like like said could whatever like like yeah late night sex wet tight ill gas jet tonight baby could go ever like like said could go ever like like yeahanytime want pick telephone know aint nothin drop couple stacks wanted could get dear five million dollar home drop bentleys swear yeah want body need yo body long got need nobody want got go get buy tell em broke niggas quietstacks deck patrone ice pop bottles night baby could whatever like like said could whatever like like yeah late night sex wet tight ill gas jet tonight baby could go ever like like said could go ever like like yeahshawty hottest love way drop brain good good swore went college hundred deposit vacations hit tropics cause everybody know aint trickin ya got ya need never ever gotta go wallet long got rubber band banks pocket five six rides rims body kit ya aint gotta downgrade get get chick could want goin every store bag want know aint never man like buy anything ya heart desire yeah want body need yo body long got need nobody want got go get buy tell em broke niggas quietstacks deck patrone ice pop bottles night baby could whatever like like said could whatever like like yeah late night sex wet tight ill gas jet tonight baby could go ever like like said could go ever like like yeahim talkin big boy rides big boy ice let put big boy yo life ya thing get wet hit right let put big boy yo life thats right want body need yo body long got need nobody want got go get buy tell em broke niggas quietstacks deck patrone ice pop bottles night baby could whatever like like said could whatever like like yeah late night sex wet tight ill gas jet tonight baby could go ever like like said could go ever like like yeahhey jillhey jill
41,obsessed,mariah carey,2009,like obsessed meso real mc please step mic mc need mc place mc mcall blogs sayin met bar even know sayin house sayin im car im jermaines im lame one even mentions name must weed must e heard get poppin get poppinah obsessed boy want know lyin sexing everybody knows clear upset ohh finally found girl impress last man earth still get thisyoure delusional delusional boy losing mind confusing yo confused know wasting time got fired napoleon complex seein right like bathin windexooh boy obsessed ladies sing girls sing obsessed obsessed obsessed obsessed obsessedyou job hatin hard aint goin feed im let starve graspin air im ventilation breath hope aint waitin tellin world much miss never trippin mom pop im corporation im press conference conversationah obsessed boy want know lyin sexing everybody knows clear upset finally found girl impress last man earth still get thisyoure delusional delusional boy losing mind mind confusing yo confused know wasting time mind got fired napoleon complex seein right like bathin windexooh boy obsessed ladies sing girls sing obsessed obsessed obsessed obsessed obsessedah obsessed hes george foreman boy want know lyin sexing lying sexing everybody knows clear upset ay finally found girl impress last man earth still get last man earth still get thisyoure delusional delusional hes george foreman boy losing mind mind confusing yo confused know wasting time mind got fired napoleon complex seein right like bathin windex
42,mad,neyo,2009,starin im sittin wonderin thinkin nobodys talkin cause talkin turned screamin im yellin yellin means neither us listening whats even worse even remember fightingso us mad fornothin fighting nothin crying nothin whoa let go nothin nothin nothin love like got baby know sometimes gonna rain baby make cause cant sleep pain cant sleep paingirl wanna go bed mad want go bed mad wanna go bed mad want go bed mad noand gets upset girl constantly accusing askin questions like already known fighting war baby us losing aint way love supposed go whoa happened workin weve falled place aint backin aint backin downso hell fornothin fighting nothin crying nothin whoa let go nothin nothin nothin love like got baby know sometimes gonna rain baby make cause cant sleep pain cant sleep paingirl wanna go bed mad want go bed mad wanna go bed mad want go bed mad nooh baby love aint gonna perfect perfect perfect good gonna fuss fight long everything alright us go sleepbaby gonna happyi know sometimes gonna rain baby make cause cant sleep pain cant sleep paingirl wanna go bed mad want go bed mad wanna go bed mad want go bed mad
43,good girls go bad,cobra starship featuring leighton meester,2009,ill make good girls go bad ill make good girls go good girls go good girls goi know type yeah daddys little girl take bite one bite let shake world cause one night wrong im gonna make lose controlshe shy till drove wildi make good girls go bad make good girls go bad hanging corner five best friends heard trouble resist make good girls go bad make good girls go good girls go good girls go good girls goi know type boy dangerous yeah guy id stupid trust one night wrong make want lose controlshe shy til drove wildi make good girls go bad make good girls go bad hanging corner five best friends heard trouble resist make good girls go bad make good girls go good girls go good girls go good girls gooh got way boys place treat em like stand chance got way girls back actin like hot danceoh got way boys place treat em like stand chance got way girls back actin like hot dancei make good girls go bad make good girls go good girls go badgood girls goi hanging corner five best friends heard trouble resist make good girls go bad make good girls go bad make good girls go good girls go good girls go good girls go
44,love lockdown,kanye west,2009,im loving way wanted run im love vibe wrong haunted way home ya never know never never know never know enough til love til lose control system overload screaming im loving way wanted see wanna move cant escape keep low keep secret code everybody else knowso keep ya love lockdown ya love lockdown keeping ya love lockdown ya love lockdown keep ya love lockdown ya love lockdown keep ya love lockdown loseim loving way wanted cant keep cool keep true got something lose gotta move cant keep still keep keep mind im somewhere far home danger zone many times take til finally got lose lose im loving way wanted see go move wasting time cant wait life wasting time wheres finish lineso keep ya love lockdown ya love lockdown keeping ya love lockdown ya love lockdown keep ya love lockdown ya love lockdown keep ya love lockdown loseim loving way wanted bet one knew got one new said im got love im loving way wanted gotta keep going keep loving going keep roll god knows ill baby im confused choose choose im loving way wanted way wanna go need road many times im loving way wanted toso keep ya love lockdown ya love lockdown keeping ya love lockdown ya love lockdown keep ya love lockdown ya love lockdown keep ya love lockdown lose
45,,pink,2009,nai guess lost husband know went im gonna drink money im gonna pay rent nope got brand new attitude im gonna wear tonight wanna get trouble wanna start fightna wanna start fight wanna start fightso im still rock star got rock moves need guess im fun done im gonna show tonight im alright im fine tool rock star got rock moves want tonightuh check flow uhthe waiter took table gave jessica simp shit guess ill go sit tomboy least hell know hit songs radio somebodys gonna die im gonna get trouble ex start fightna hes gonna start fight gonna get fightso im still rock star got rock moves need guess im fun done im gonna show tonight im alright im fine tool rock star got rock moves want tonightyou never want thats fair gave love gave let fallso im still rock star got rock moves need guess im fun done im gonna show tonight im alright im fine tool rock star got rock moves want tonightno want tonight im gonna show tonight im alright im fine tool rock star got rock moves want tonightba da da da da da
46,hotel room service,pitbull,2009,dj want everybody stop theyre know somebody gonna take hotel room tonight make noisemeet hotel room meet hotel room meet hotel room meet hotel roomforget boyfriend meet hotel room bring girlfriends meet hotel room forget boyfriend meet hotel room bring girlfriends meet hotel room hotel motel holiday inn hotel motel holiday inn hotel motel holiday inn hotel motel holiday innshe like freak stuff two one eye kinky stuff nasty like type like ti whatever like bring girls whatever night man left im plumber tonight let check pipes healthy type well goes egg whites gimme sweet nasty gushy stuff let tell gon two plus two im gonna undress gonna go gon undress gon go gon freak firstforget boyfriend meet hotel room bring girlfriends meet hotel room forget boyfriend meet hotel room bring girlfriends meet hotel room hotel motel holiday inn hotel motel holiday inn hotel motel holiday inn hotel motel holiday innafter party hotel lobby room like room put fingers yo mouth girl open yo blouse pull gstring south ok shawty ones company twos crowd threes party ya girl aint got somebody nature naughty gimme sweet nasty gushy stuff im tell gon two plus two im gon undress gon go three three gon undress gonna go four four gon freak firstforget boyfriend meet hotel room bring girlfriends meet hotel room forget boyfriend meet hotel room bring girlfriends meet hotel room hotel motel holiday inn hotel motel holiday inn hotel motel holiday inn hotel motel holiday inn
48,boy,beyonce,2009,boy even day id roll bed morning throw wanted go drink beer guysand chase girls id kick wanted id never get confronted cause stick meif boy think could understand feels love girl swear id better manid listen cause know hurts lose one wanted cause hes taking granted everything got destroyedif boy would turn phone tell everyone broken theyd think sleeping aloneid put first make rules go cause know shed faithful waiting come home come homeif boy think could understand feels love girl swear id better manid listen cause know hurts lose one wanted cause hes taking granted everything got destroyedits little late come back say mistake think id forgive like thought would wait thought wrongbut boy understand understand feels love girl someday wish better manyou listen care hurts lose one wanted cause taking granted everything got destroyed boy
49,turnin,keri hilson featuring lil wayne,2009,please turn yeah like shawtyyou fly hell swagga right brown skin poppin know talk know like turnin turnin turnin onnow wait minute little buster got one time feel booty better recognize lady aint way turnin turnin turnin better recognize real womanyou ever try get close better come correct proachin dime divas give gotta feeling energy gotta sure recognize real womangoing acting like want stuntin like daddy checkin little mama turnin turnin turnin onnow wait minute little buster even know wanna take shopping lame tell aint big shit poppin turnin turnin turnin better recognize real womanall wanna holla cutest broad get draws got money try buy bottles got dollars could buy bar want ityou ever try get close better come correct proachin dime divas give gotta feeling energy gotta sure recognize real womanim im fly hell swagger right brown skin popping like dynamite raw like china white mami dig persona right look baby mama type know got kinda hype ice albino white hope vagina tight ill go water hope piranha bite hot carter im kiss spot ya im kiss til scream wait minute motherfucker ha yeah turn like handle like television weather channel cause make rain girl call wayne girl earthling aint never waynes world play win bait em thing love alien polo da beat weezy im plate keri pitch im swing away someone better play da fence someone better tell em bout baby im shit thats thing smell around weezy f baby forget f around get f round turnin offyeah yeah polo told got miss keri baby miss keri baby ever try get close better come correct proachin dime divas give mei gotta feeling energy gotta sure recognize real womanyeah miss keri baby young weezy baby young mula baby
50,hate part,pussycat dolls,2009,driving slow snow th avenue right radios hear aint talked since left overdue cold outside us worse herethe world slows heart beats fast right know part end startsi cant take longer thought stronger linger slipping fingers wanna try thats left goodbye find way tell youi hate part right hate part right cant take tears hate part right hereeveryday takes old scene seems bound laws routine gotta talk go sleep sleep tell whats hurting methe world slows heart beats fast right know part end startsi cant take longer thought stronger linger slipping fingers wanna try thats left goodbye find way tell youi hate part right hate part right cant take tears hate part right herei know ask hold carry like nothings wrong time lies cause see sunset eyesi cant take longer thought stronger linger slipping fingers wanna try thats left goodbye find way tell youthat gotta gotta gotta hate part gotta gotta gotta iti hate part right hate part right cant take tears hate part right
51,gotta somebody,nickelback,2009,time wonder feels like find one life one dream dreams enough ill waiting real thing ill know feeling moment meeting play like scene straight silver screen ill holding breath right til end moment find one ill spend forever withcause nobody wants last one cause everyone wants feel like someone cares someone love life hands theres gotta somebody like cause nobody wants go everyone wants know theyre alone theres somebody else feels somewhere theres gotta somebody theretonight street moonlight dammit feels right like deja vu standing ill holding breath could end moment find one ill spend forever withcause nobody wants last one cause everyone wants feel like someone cares someone love life hands theres gotta somebody like cause nobody wants go everyone wants know theyre alone theres somebody else feels somewhere theres gotta somebody thereyou cant give looking diamond rough cause never know shows make sure holding cause could one one waiting cause nobody wants last one everyone wants feel like someone cares someone love life hands theres gotta somebody ohnobody wants go everyone wants know theyre alone theres somebody else feels somewhere theres gotta somebody nobody wants last one cause everyone wants feel like someone cares theres somebody else feels somewhere theres gotta somebody
52,please leave,pink,2009,know yell louder many time ive kicked outta said something insulting mean wanna capable really anything cut pieces heart brokenplease leave please leave im always saying need always gonna come right back please leave mehow become obnoxious makes act like ive never nasty cant tell contest one wins one hits hardest baby mean mean promiseplease leave please leave im always saying need always gonna come right back please leave mei forgot say loud beautiful really cant without perfect little punching bag need im sorryplease please leave mebaby please leave leave please leave im always saying need always gonna come right back gonna come right back please leave always say need always gonna come right back please leave baby please leave
53,paparazzi,lady gaga,2009,crowd ccoming got flash true need picture magical wed fantasticalleather jeans rock glamorous sure means photo us price ready flashing lights cause know baby iim biggest fan ill follow love papapaparazzi baby theres superstar know ill papapaparazzi promise ill kind stop boy mine baby famous chase love papapaparazziill girl backstage show velvet ropes guitars yeah cause rockstar sets eyeliner cigarettesshadow burnt yellow dance turn lashes dry purple teardrops cry price loving cherry pie cause know baby iim biggest fan ill follow love papapaparazzi baby theres superstar know ill papapaparazzi promise ill kind stop boy mine baby famous chase love papapaparazzireal good dancing studio snap snap shit radio stop anyone plastic still funim biggest fan ill follow love papapaparazzi baby theres superstar know ill papapaparazzi promise ill kind stop boy mine baby famous chase love papapaparazzi
54,beautiful,akon featuring colby odonis and kardinal offishall,2009,see run words say leave cause type girl make stay ohi see guys tryna holla girl wanna bother cause independent got attention baby father girl wanna show love doin huni see club gettin good wanna get yeah see club showin thugs love wanna get youyoure beautiful damn beautiful said beautiful damn beautifulyoure beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautifullike clouds drift away far away yeah like sun brighten day brighten day yeah never wanna see cry cry cry never wanna tell lie lie lie said never wanna see cry cry cry never wanna tell lie lie liei see club gettin good wanna get yeah see club showin thugs love wanna get youyoure beautiful damn beautiful said beautiful damn beautifulyoure beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautifulkardinal told whether sky blue yellow fella aint mellow aint hourglass shape make place go waistline makes soldier salute ima brute brute high high heel game high heels push ya ass last name livin fast lane eyes like angel goddess watch yellin undress spotless otless bad bone make wanna go put triple x zone zone lames know talk let walk hold hand imma spend grands undress like hooker like princess queen empress president pull way ya got love cause beautiful okayi see club gettin good wanna get yeah see club showin thugs love wanna get youyoure beautiful damn beautiful said beautiful damn beautifulyoure beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautifulwhered come outta world symbol big beautiful woman wee ohi never wanna see cry cry cry cry never wanna tell lie lie lie yeah said never wanna see cry cry cry never wanna tell lie lie lie liei see club gettin good wanna get yeah see club showin thugs love wanna get youyoure beautiful damn beautiful said beautiful damn beautiful beautiful
55,viva vida,coldplay,2009,used rule world seas would rise gave word morning sleep alone sweep streets used owni used roll dice feel fear enemys eyes listen crowd would sing old king dead long live kingone minute held key next walls closed discovered castles stand upon pillars salt pillars sandi hear jerusalem bells ringing roman cavalry choirs singing mirror sword shield missionaries foreign field meaning byjamesg editor viva vida song british alternative rock band coldplay fourth album viva vida death friends see reason cant explain gone never never honest word ruled worldit wicked wild wind blew doors let shattered windows sound drums people believe id becomerevolutionaries wait head silver plate puppet lonely string would ever want kingi hear jerusalem bells ringing roman cavalry choirs singing mirror sword shield missionaries foreign fieldfor reason cant explain know saint peter call name never honest word ruled world woahahahah woahahah woahahahah woahahah woahahahahi hear jerusalem bells ringing roman cavalry choirs singing mirror sword shield missionaries foreign fieldfor reason cant explain know saint peter call name never honest word ruled worldooooooh oooooh ooooooh oooooh
56,right,akon,2009,long seen face im tryna strong strength washing away long get side hold tease squeeze tell whats mindi wanna make right wanna make right wish never broke right need link right nai wanna make right wanna make right wish never broke right need link right nagirl know mistakes made us two show ass night even said somethings true whyd go seen girl since cant way cause homie lover friendi wanna make right wanna make right wish never broke right need link right nai wanna make right wanna make right wish never broke right need link right nai cant lie miss much watching everyday goes miss much till get back im gonna cry yes miss much cause apple eye girl miss much miss muchi cant lie miss much watching everyday goes miss much tell get back im gonna cry yes miss much yes apple eye girl miss much miss muchi wanna make right wanna make right wish never broke right need link right nai wanna make love right wanna make love right wish never broke right need link right nai want fly want fly miss lie miss lie wish could dine wish could dine one would grind one would grind mei want fly want fly miss lie miss lie wish could dine wish could dine one would grind one would grindi wanna make right wanna make right wish never broke right need link right nai wanna make right wanna make right wish never broke right need link right
57,battlefield,jordin sparks,2009,try explain mind know whats happening one minute love suddenly like battlefieldone word turns war smallest things tear us worlds nothing gone im without shield cant go back nowboth hands tied behind back nothing times climb fast fall gotta fall nowi never meant start war know never wanna hurt even know fighting love always feel like battlefield battlefield battlefield love always feel like battlefield battlefield battlefield love always feel likecant swallow pride neither us wanna raise flag mm cant surrender gonna lose noboth hands tied behind back nothing nothing times climb fast fall wanna fall nowi never meant start war know never wanna hurt even know fighting love always feel like battlefield battlefield battlefield love always feel like battlefield battlefield battlefield better go get armor get armor get armor get armor guess better go get armor get armor get armor get armor guess better go get yourwe could pretend friends tonight morning wake wed alright cause baby fight want love feel like battlefield battlefield battlefield love always feel like battlefield battlefield battlefield guess better go get armori never meant start war know never wanna hurt even know fighting love always feel like battlefield battlefield battlefield love always feel like battlefield battlefield battlefield guess better go get armor get armor get armor get armor guess better go get armor get armor get armor get armor love always feel like love always feel like battlefield battlefieldi never meant start war even know fighting never meant start war even know fighting
58,sugar,flo rida featuring wynter gordon,2009,double dee double dimy lips like sugar lips like sugar candy got sprung candy got sprung call sugar call sugar love love im sweet like da double dee double di im sweet like da double dee double di im sweet like da double dee double di sugarhey ive got mouth full cavities sweet tooth full mama like sugar love lips put bug ear tone shawty gotta kiss emergency spit sprung taste addicted gloss smile way baby rub put tongue face little mistletoe sippin grand marnier im fan day favor cause like flavor manage behavior im major sweeter flavor thats good player hood later throw back like pager pretty much givin sugar rush lil mama give high blood pressure blush lips feel soft feather touch shawty thats whats upmy lips like sugar lips like sugar candy got sprung candy got sprung call sugar call sugar love love im sweet like da double dee double di im sweet like da double dee double di im sweet like da double dee double di sugarhey sh shawty would mind cause want later wanna wait one yep yep vision delicious cant help interest candy addiction wanna peace piece gotta get piece know piece give sweets bottom top lip bout sugar feast level trip im lip bitin beast man things teeth squeeze sugar cane mouth must beat aint mama slirp stickin usin tree like taffy classy get im fly let know wanna kiss lips theyll fine baby trip juicy kind get get grip girl aint lyinmy lips like sugar lips like sugar candy got sprung candy got sprung call sugar call sugar love love im sweet like da double dee double di im sweet like da double dee double di im sweet like da double dee double di sugaryou like sugar sugar sweet sweet like candy candy sweet sweet got good appetite ill wrap clothes treat treat girl sugar call candy tonight im gonna get get girl sugar call candy tonight im gonna get get sugarmy lips like sugar lips like sugar candy got sprung candy got sprung call sugar call sugar love love im sweet like da double dee double di im sweet like da double dee double di im sweet like da double dee double di sugar
59,miss independent,neyo,2009,yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahoh something something way move cant figure something hersay something kinda woman want need hey cant figure something hercause walk like boss talk like boss manicure nails sent pedicure fly effortlesslyand move like boss boss got thinking getting involved thats kinda girl needshe got thing thats love miss independent come spend little time got thing thats love miss independent way shine miss independentyeah yeah yeah yeah yeah yeah yeah yeah yeah yeahooh theres something kinda woman look makes proud theres something hersomething sexy kinda woman even need help said got got said got got doubt theres something theres somethin hercause work like boss play like boss car crib bout pay em bills payed time yeah made boss boss anything less telling get lost thats girl thats mindshe got thing thats love miss independent come spend little time got thing thats love miss independent way shine miss independenther favorite thing say worry got everything got best believe bought goin steal heart aint doubt girl everything need said everything needyeah yeah yeah yeah yeah yeah yeah yeah yeah yeahshe got thing thats love miss independent come spend little time got thing thats love miss independent way shine miss independentmiss independent thats love
60,fireflies,owl city,2009,would believe eyes ten million fireflies lit world fell asleepcause fill open air leave teardrops everywhere think rude would stand stareid like make believe planet earth turns slowly hard say id rather stay awake im asleep cause everything never seemscause id get thousand hugs ten thousand lightning bugs tried teach dancea foxtrot head sock hop beneath bed disco ball hanging thread thread threadid like make believe planet earth turns slowly hard say id rather stay awake im asleep cause everything never seems fall asleepleave door open crack please take away cause feel like insomniac please take away tire counting sheep please take away im far tired fall asleepto ten million fireflies im weird cause hate goodbyes got misty eyes said farewell said farewellbut ill know several dreams get real bizarre cause saved keep jar jar jarid like make believe planet earth turns slowly hard say id rather stay awake im asleep cause everything never seems fall asleepid like make believe planet earth turns slowly hard say id rather stay awake im asleep cause everything never seems fall asleepid like make believe planet earth turns slowly hard say id rather stay awake im asleep dreams bursting seams
61,new divide,linkin park,2009,remembered black skies lightning around remembered flash time began blur like startling sign fate finally found meand voice heard get deserveso give reason prove wrong wash memory clean let floods cross distance eyesgive reason fill hole connect space let enough reach truth lies across new dividethere nothing sight memories left abandoned nowhere hide ashes fell like snow ground caved standingand voice heard get deserveso give reason prove wrong wash memory clean let floods cross distance eyes across new dividein every loss every lie every truth deny regret goodbye mistake great hideand voice heard get deserveso give reason prove wrong wash memory clean let floods cross distance eyesgive reason fill hole connect space let enough reach truth lies across new divideacross new divide across new divide
62,empire state mind,jayz and alicia keys,2009,yea yea im brooklyn im tribeca right next deniro ill hood forever im new sinatra since made make anywhere yea love everywhere used cop harlem dominicanos right broadway pull back mcdonalds took stashbox state st catch kitchen like simmons wippin pastrys cruisin th st white lexus drivin slow bk texas im bedstuy home boy biggie live billboard brought boys say whattup tyty still sippin mai tais sittin courtside knicks nets give high five nigga spiked could trip referee tell attitude im definitely fromin new york concrete jungle dreams made theres nothin cant new york streets make feel brand new big lights inspire lets hear new york new york new yorkcatch x og yankee game shit made yankee hat famous yankee know bleed blue aint crip though got gang niggas walkin clique though welcome melting pot corners sellin rock afrika bambataa shit home hiphop yellow cab gypsy cab dollar cab holla back foreigners aint act like forgot act eight million stories naked city pity half yall make got plug special ed got made jesus payin lebron im payin dwayne wade three dice ceelo three card monte labor day parade rest peace bob marley statue liberty long live world trade long live king yo im empire st thatsin new york concrete jungle dreams made theres nothin cant new york streets make feel brand new big lights inspire lets hear new york new york new yorklights blinding girls need blinders step bounds quick sidelines lined casualties sip life casually gradually become worse bite apple eve caught incrowd style end winter gets cold en vogue skin city sin pity whim good girls gone bad citys filled mommy took bus trip got bust everybody ride like bus route hail mary city virgin jesus cant save life starts church end came school graduated high life ball players rap stars addicted limelight mdma got feelin like champion city never sleeps better slip ambienin new york concrete jungle dreams made theres nothin cant new york streets make feel brand new big lights inspire lets hear new york new york new yorkone hand air big city street lights big dreams lookin pretty place world could compare put lighters air everybody say yeah yeah yea yeain new york concrete jungle dreams made theres nothin cant new york streets make feel brand new big lights inspire lets hear new york new york new york
